date,rainfall_mm
2024-10-16,3.0
2024-10-17,0.2
2024-10-18,9.1
2024-10-19,2.3
2024-10-20,5.8
2024-10-21,0.0
2024-10-22,0.3
2024-10-23,0.2
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,0.8
2024-10-27,1.3
2024-10-28,2.0
2024-10-29,0.2
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.2
2024-11-06,0.4
2024-11-07,0.1
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.2
2024-11-12,0.1
2024-11-13,0.1
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,0.5
2024-11-17,3.7
2024-11-18,14.0
2024-11-19,1.0
2024-11-20,0.2
2024-11-21,0.0
2024-11-22,2.4
2024-11-23,18.0
2024-11-24,14.1
2024-11-25,0.2
2024-11-26,28.7
2024-11-27,0.0
2024-11-28,0.3
2024-11-29,0.1
2024-11-30,0.4
2024-12-01,7.9
2024-12-02,0.0
2024-12-03,0.2
2024-12-04,8.4
2024-12-05,3.3
2024-12-06,4.0
2024-12-07,5.2
2024-12-08,3.9
2024-12-09,1.0
2024-12-10,0.0
2024-12-11,0.1
2024-12-12,0.4
2024-12-13,0.1
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,0.5
2024-12-17,3.0
2024-12-18,6.7
2024-12-19,0.0
2024-12-20,2.3
2024-12-21,0.6
2024-12-22,0.0
2024-12-23,0.2
2024-12-24,0.0
2024-12-25,0.5
2024-12-26,0.4
2024-12-27,0.2
2024-12-28,0.2
2024-12-29,0.0
2024-12-30,0.1
2024-12-31,1.1
2025-01-01,14.2
2025-01-02,0.0
2025-01-03,0.1
2025-01-04,26.4
2025-01-05,18.7
2025-01-06,1.2
2025-01-07,0.0
2025-01-08,1.9
2025-01-09,0.0
2025-01-10,0.1
2025-01-11,0.2
2025-01-12,0.1
2025-01-13,0.0
2025-01-14,0.4
2025-01-15,0.1
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,0.2
2025-01-22,0.0
2025-01-23,16.9
2025-01-24,1.2
2025-01-25,0.1
2025-01-26,28.5
2025-01-27,14.3
2025-01-28,2.3
2025-01-29,0.1
2025-01-30,5.1
2025-01-31,1.5
2025-02-01,0.0
2025-02-02,0.2
2025-02-03,0.2
2025-02-04,0.7
2025-02-05,0.1
2025-02-06,0.4
2025-02-07,2.4
2025-02-08,1.8
2025-02-09,5.7
2025-02-10,1.6
2025-02-11,0.0
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,1.8
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,2.1
2025-02-20,9.5
2025-02-21,19.8
2025-02-22,0.1
2025-02-23,19.7
2025-02-24,2.1
2025-02-25,0.1
2025-02-26,5.6
2025-02-27,0.1
2025-02-28,0.0
2025-03-01,0.1
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,0.1
2025-03-05,0.0
2025-03-06,0.0
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,1.4
2025-03-13,1.1
2025-03-14,0.6
2025-03-15,0.0
2025-03-16,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,1.4
2025-03-22,0.0
2025-03-23,0.1
2025-03-24,0.0
2025-03-25,0.0
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,0.0
2025-03-29,0.0
2025-03-30,0.0
2025-03-31,0.0
2025-04-01,0.0
2025-04-02,0.0
2025-04-03,0.0
2025-04-04,0.0
2025-04-05,0.0
2025-04-06,0.0
2025-04-07,0.0
2025-04-08,0.0
2025-04-09,0.0
2025-04-10,0.0
2025-04-11,0.0
2025-04-12,0.4
2025-04-13,3.2
2025-04-14,4.1
2025-04-15,1.0
2025-04-16,0.0
2025-04-17,0.0
2025-04-18,0.5
2025-04-19,0.0
2025-04-20,0.0
2025-04-21,0.4
2025-04-22,8.9
2025-04-23,0.0
2025-04-24,0.0
2025-04-25,0.0
2025-04-26,0.0
2025-04-27,0.0
2025-04-28,0.0
2025-04-29,0.0
2025-04-30,0.0
2025-05-01,0.0
2025-05-02,0.0
2025-05-03,0.0
2025-05-04,0.0
2025-05-05,0.4
2025-05-06,0.0
2025-05-07,0.0
2025-05-08,0.0
2025-05-09,0.0
2025-05-10,0.0
2025-05-11,4.8
2025-05-12,0.0
2025-05-13,0.2
2025-05-14,0.0
2025-05-15,0.0
2025-05-16,0.0
2025-05-17,0.0
2025-05-18,0.0
2025-05-19,0.0
2025-05-20,0.1
2025-05-21,0.6
2025-05-22,0.0
2025-05-23,5.7
2025-05-24,0.7
2025-05-25,0.0
2025-05-26,0.5
2025-05-27,3.8
2025-05-28,0.5
2025-05-29,0.0
2025-05-30,0.0
2025-05-31,0.0
2025-06-01,0.0
2025-06-02,0.1
2025-06-03,2.0
2025-06-04,7.2
2025-06-05,5.4
2025-06-06,3.6
2025-06-07,11.7
2025-06-08,0.0
2025-06-09,0.0
2025-06-10,0.0
2025-06-11,0.0
2025-06-12,0.1
2025-06-13,1.7
2025-06-14,0.0
2025-06-15,0.0
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,0.0
2025-06-19,0.0
2025-06-20,0.0
2025-06-21,0.1
2025-06-22,0.0
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.3
2025-06-26,1.1
2025-06-27,0.0
2025-06-28,0.0
2025-06-29,0.0
2025-06-30,0.0
2025-07-01,0.5
2025-07-02,0.1
2025-07-03,0.0
2025-07-04,0.3
2025-07-05,1.4
2025-07-06,8.9
2025-07-07,0.1
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,0.0
2025-07-12,0.0
2025-07-13,0.4
2025-07-14,0.3
2025-07-15,0.1
2025-07-16,0.0
2025-07-17,0.0
2025-07-18,14.4
2025-07-19,4.7
2025-07-20,2.6
2025-07-21,0.6
2025-07-22,2.5
2025-07-23,0.1
2025-07-24,0.5
2025-07-25,0.0
2025-07-26,0.4
2025-07-27,0.0
2025-07-28,0.5
2025-07-29,0.0
2025-07-30,1.4
2025-07-31,17.4
2025-08-01,0.2
2025-08-02,0.0
2025-08-03,0.0
2025-08-04,0.1
2025-08-05,0.0
2025-08-06,0.0
2025-08-07,0.0
2025-08-08,0.0
2025-08-09,0.0
