date,rainfall_mm
2024-10-27,0.8
2024-10-28,0.6
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.2
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.2
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,0.2
2024-11-13,0.0
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,0.4
2024-11-17,5.8
2024-11-18,10.0
2024-11-19,2.4
2024-11-20,0.2
2024-11-21,0.0
2024-11-22,1.2
2024-11-23,11.6
2024-11-24,12.2
2024-11-25,0.0
2024-11-26,27.2
2024-11-27,0.0
2024-11-28,0.2
2024-11-29,0.0
2024-11-30,0.2
2024-12-01,5.0
2024-12-02,0.0
2024-12-03,0.0
2024-12-04,8.2
2024-12-05,4.6
2024-12-06,3.8
2024-12-07,3.4
2024-12-08,2.0
2024-12-09,0.6
2024-12-10,0.0
2024-12-11,0.0
2024-12-12,1.0
2024-12-13,0.0
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,0.0
2024-12-17,2.8
2024-12-18,3.2
2024-12-19,0.0
2024-12-20,2.4
2024-12-21,0.8
2024-12-22,0.0
2024-12-23,0.0
2024-12-24,0.0
2024-12-25,0.2
2024-12-26,0.2
2024-12-27,0.2
2024-12-28,0.2
2024-12-29,0.0
2024-12-30,0.0
2024-12-31,0.4
2025-01-01,12.0
2025-01-02,0.0
2025-01-03,0.0
2025-01-04,20.2
2025-01-05,17.8
2025-01-06,0.2
2025-01-07,0.0
2025-01-08,2.6
2025-01-09,0.0
2025-01-10,0.2
2025-01-11,0.2
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,0.2
2025-01-15,0.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,0.2
2025-01-21,0.2
2025-01-22,0.0
2025-01-23,10.8
2025-01-24,0.8
2025-01-25,0.0
2025-01-26,26.6
2025-01-27,8.4
2025-01-28,0.4
2025-01-29,0.0
2025-01-30,7.0
2025-01-31,2.0
2025-02-01,0.0
2025-02-02,0.2
2025-02-03,0.0
2025-02-04,0.2
2025-02-05,0.0
2025-02-06,0.2
2025-02-07,5.6
2025-02-08,1.0
2025-02-09,3.8
2025-02-10,0.4
2025-02-11,0.0
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,1.0
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,1.2
2025-02-20,2.8
2025-02-21,10.8
2025-02-22,0.2
2025-02-23,14.6
2025-02-24,1.2
