date,rainfall_mm
2014-06-05,0.0
2014-06-06,1.58
2014-06-07,4.43
2014-06-08,0.0
2014-06-09,0.18
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,31.11
2014-06-14,0.34
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,2.56
2014-06-27,0.11
2014-06-28,6.04
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,0.0
2014-07-04,3.06
2014-07-05,0.04
2014-07-06,0.0
2014-07-07,1.78
2014-07-08,7.46
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.44
2014-07-12,0.7
2014-07-13,0.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,12.71
2014-07-18,4.32
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,3.45
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,0.0
2014-08-01,0.0
2014-08-02,9.89
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,6.52
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,13.24
2014-08-09,6.95
2014-08-10,1.35
2014-08-11,4.87
2014-08-12,4.52
2014-08-13,0.15
2014-08-14,3.87
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,1.63
2014-08-18,0.76
2014-08-19,0.15
2014-08-20,0.15
2014-08-21,0.0
2014-08-22,0.25
2014-08-23,0.0
2014-08-24,1.29
2014-08-25,18.73
2014-08-26,3.32
2014-08-27,1.17
2014-08-28,0.0
2014-08-29,0.42
2014-08-30,0.0
2014-08-31,0.55
2014-09-01,1.98
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,0.0
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,0.0
2014-09-16,0.04
2014-09-17,0.0
2014-09-18,1.71
2014-09-19,1.54
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,0.0
2014-09-25,0.0
2014-09-26,0.0
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.04
2014-09-30,0.5
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,0.19
2014-10-04,5.34
2014-10-05,1.89
2014-10-06,10.86
2014-10-07,2.52
2014-10-08,2.18
2014-10-09,5.56
2014-10-10,3.35
2014-10-11,0.0
2014-10-12,13.67
2014-10-13,13.79
2014-10-14,1.98
2014-10-15,7.75
2014-10-16,9.16
2014-10-17,0.98
2014-10-18,1.35
2014-10-19,0.05
2014-10-20,3.47
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,1.07
2014-10-24,0.42
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.22
2014-10-29,1.61
2014-10-30,0.0
2014-10-31,0.7
2014-11-01,3.42
2014-11-02,3.62
2014-11-03,2.85
2014-11-04,1.35
2014-11-05,0.0
2014-11-06,7.77
2014-11-07,0.12
2014-11-08,5.25
2014-11-09,0.0
2014-11-10,0.41
2014-11-11,5.11
2014-11-12,2.53
2014-11-13,11.48
2014-11-14,2.53
2014-11-15,0.0
2014-11-16,8.71
2014-11-17,0.56
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,1.25
2014-11-22,10.45
2014-11-23,6.53
2014-11-24,0.1
2014-11-25,12.45
2014-11-26,1.25
2014-11-27,0.0
2014-11-28,0.32
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,0.07
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,0.25
2014-12-05,0.07
2014-12-06,0.09
2014-12-07,0.2
2014-12-08,0.0
2014-12-09,1.62
2014-12-10,0.0
2014-12-11,10.19
2014-12-12,0.0
2014-12-13,0.13
2014-12-14,0.71
2014-12-15,0.0
